filament_id,filament_company,filament_colour,filament_material,diameter,starting_amount,amount_left,state,date_last_dried
0,Bambu,Orange,PLA basic,1.75,250.0,208.21,Active,02-15-2026
1,Bambu,Green,PLA basic,1.75,250.0,196.03,Active,02-15-2026
2,Bambu,White,SupPLA,1.75,250.0,250.0,Active,02-14-2026
3,Bambu,Cobalt blue,PLA basic,1.75,1000.0,1000.0,Active,02-14-2026
4,Bambu,Black,PETG HF,1.75,1000.0,1000.0,Active,05-02-2026
5,Bambu,Black,PETG HF,1.75,1000.0,1000.0,Waiting,
6,Bambu,White,ABS,1.75,1000.0,1000.0,Active,04-12-2026
7,Bambu,White,ABS,1.75,1000.0,1000.0,Active,04-12-2026
8,Bambu,Cobalt blue,PLA basic,1.75,1000.0,1000.0,Waiting,
9,Bambu,Orange,PLA basic,1.75,1000.0,1000.0,Waiting,
10,Bambu,Black,ABS,1.75,1000.0,1000.0,Waiting,
11,Bambu,White,PETG HF,1.75,1000.0,1000.0,Waiting,
